ec50UM,ic50UM,aMax,actArea
0.08143727,0.08326793,-98.494957,4.3589
0.06342217,0.18594281,-69.316811,2.9091
2.74258304,1.54415619,-87.25602,2.4981
0.00318373,8,-24.047287,1.3523
0.04672672,8,-40.365448,2.1132
5.00708818,2.6669693,-90.740364,1.9241
4.33167839,4.77796602,-77.467239,0.9437
8.63063486,8,-20.539227,0.1733
2.6580143,8,-33.246059,0.5493
4.0232501,8,-38.852993,0.5101
2.62004018,8,-28.889307,0.5401
8.02441863,8,-41.412575,0.3525
0.02172719,0.02685253,-66.087791,4.0054
0.02106771,0.01914952,-77.625931,4.9906
0.06668095,0.07404468,-100.781296,4.3314
0.06851898,0.09915924,-85.146713,3.7728
2.08558822,1.96417844,-102.190697,1.921
7.3910594,1.9707067,-97.724823,2.4285
5.73222542,1.42946458,-93.825523,2.0888
8.21994599,4.93469095,-80.743683,1.3051
8.26981685,6.10896635,-58.449909,1.0515
0.03337744,0.21053881,-54.875633,1.6628
0.07488713,0.16886857,-67.691116,2.9562
0.22910132,0.16943243,-95.080299,3.1361
0.01196305,0.01343916,-70.867424,4.2166
0.02742044,0.03442898,-98.108643,4.3233
0.35333082,0.36630365,-96.185318,2.5007
0.02430888,8,-80.121002,4.9196
9.16239752,3.74086523,-94.14222,1.3453
0.29692268,0.52340096,-84.694633,3.0013
8.39324697,3.8423233,-83.385147,0.8215
5.16790819,8,-26.890471,0.2502
6.61850309,8,-13.142727,0.0346
6.74683237,8,-38.807537,0.273
8.1978295,8,-25.122776,0.2841
7.40467644,5.7492137,-96.763481,0.9608
3.04937744,2.3180716,-81.392197,1.848
0.0244014,0.02650133,-68.651741,4.1256
0.05987443,0.06900461,-95.318359,4.2725
1.62074268,5.09843636,-52.55817,1.2612
7.76108742,5.62861729,-79.916954,1.5222
8.38579096,7.20543337,-62.673821,0.6211
7.0846715,8,-35.08696,0.3232
3.9356668,6.31390715,-53.128372,0.3766
0.06194265,0.09143956,-76.062317,3.251
1.23260284,1.16280758,-80.190552,1.6605
0.01045713,0.01209053,-78.929466,4.6005
0.0101305,0.0151788,-57.41325,3.9556
0.11585982,0.13898471,-94.198105,3.2337
0.73034346,1.20074666,-76.590797,1.63
8.94941327,5.28609705,-92.595291,0.4842
1.31955922,2.41327214,-67.473419,1.7595
0.88060081,0.85554689,-90.739609,2.7765
0.12974635,0.23381846,-80.415527,3.0417
0.02073067,0.02681832,-69.946739,3.657
0.02804973,0.03325266,-100.787865,4.9024
0.17884044,0.17434344,-102.194626,3.5284
0.14978372,0.17700699,-87.073677,2.8192
0.01525006,0.08025265,-70.430328,2.8012
0.04226755,0.10213217,-58.253548,3.0234
0.10456184,0.09970301,-113.737343,3.9406
0.32344422,0.38891402,-71.772003,1.972
8.60781743,4.40382958,-103.545006,1.1943
8.76826293,4.1937418,-78.76767,1.0744
3.44528914,8,-39.233234,0.3011
8.07081457,8,-37.666153,0.2063
0.02277681,0.03587213,-66.996506,4.1513
0.16440092,0.24618134,-81.161858,2.8009
0.02081482,0.02229322,-62.217525,4.591
0.14147769,0.14629741,-95.942574,4.0676
0.18912362,0.87509996,-61.165649,2.0361
0.28065568,0.38300291,-76.723969,3.1782
2.03089452,2.18169618,-79.353752,1.8224
2.1371038,2.8560102,-69.898087,1.5185
8.55786957,8,-38.740696,0.5373
2.54447842,8,-33.420158,0.7127
2.91798949,8,-40.779007,0.5841
0.32198289,0.27226621,-90.429199,3.9869
0.0370595,0.0187758,-86.162849,5.2374
0.05629895,0.06376069,-100.528526,4.5119
0.1349937,0.17347786,-85.14045,3.7843
9.01177787,2.3152957,-97.137199,1.8429
8.66937793,7.13658428,-54.072403,0.9194
4.49276114,6.45037556,-56.897427,0.7352
0.19891876,0.23015147,-71.384262,1.9799
0.30084533,0.494542,-81.530884,1.9584
0.03875459,0.04099141,-97.206558,3.5627
0.07257309,0.17397425,-74.003891,2.3493
1.58017385,2.08093858,-77.267365,1.1864
1.60134924,0.82817125,-86.598183,1.9181
0.03830626,8,-83.542999,4.968
8.14987239,8,-34.708664,0
9.32603606,8,-24.879791,0.1774
0.45809573,0.56319368,-79.319122,2.7715
0.02905073,0.0271829,-93.380623,5.3432
0.01754654,0.02177269,-95.007339,5.2424
0.06970786,0.09614279,-59.268826,2.7301
0.04266382,0.04186839,-93.578728,5.0616
5.32892323,5.35647821,-90.994553,0.9015
0.66368866,0.70767999,-88.045532,2.3471
8.11497573,8,-39.225353,0.3363
8.79888332,8,-25.361794,0.21
3.84161949,8,-48.524883,0.1814
7.29184437,8,-34.284084,0.5736
0.04833357,0.05581841,-74.912094,3.9465
0.05027463,0.12751257,-77.192902,3.5121
0.10889659,0.13543539,-92.676971,3.4435
5.84857472,0.03655413,-56.315968,3.3439
0.06572214,0.06614719,-94.086288,4.3951
0.07588213,0.19639184,-75.498978,2.9047
0.01064094,0.01106447,-80.834831,5.046
0.02872056,0.0317828,-98.629738,5.2138
0.04713742,0.06286687,-87.87249,4.2169
8.30692667,2.96131468,-75.181473,1.4072
0.23670672,0.31238058,-77.25074,3.2033
0.00985082,0.01665611,-84.438881,5.3659
0.14805004,0.11665717,-96.100876,4.1913
1.51390636,3.5154345,-58.673538,1.1671
0.11091258,0.19628626,-72.375748,3.5615
8.22028189,4.11328554,-68.885208,1.5288
1.03447604,8,-17.430529,0.3625
0.74516416,0.74634647,-85.606812,3.367
0.00439164,0.00764951,-81.658112,5.3401
0.02664517,0.02578016,-98.85067,5.2359
1.15284061,1.12532377,-99.017647,2.2681
0.10621878,0.13071564,-86.943649,3.5555
6.8155632,2.00216723,-95.158218,1.8406
3.27344918,3.41640973,-91.178055,1.0813
0.19607998,0.45845756,-75.889725,2.8915
0.03887308,0.0423425,-93.626915,4.8066
