ec50UM,ic50UM,aMax,actArea
0.60927349,0.93640953,-75.662521,1.5547
2.9466114,1.22415817,-79.383362,1.4991
7.80144692,2.35110116,-81.998665,1.5994
0.73461205,8,-22.350224,0.2484
8.37231647,8,-42.750267,0.2758
0.6819905,0.98321378,-78.744484,1.9354
0.06243378,0.06242324,-91.899216,4.3321
9.12379108,7.80930424,-50.359825,1.4401
2.16459394,3.86351228,-62.421928,1.6344
0.12006407,0.16767947,-74.992882,3.4416
0.0576806,0.07164569,-90.879402,4.2888
0.01563407,0.01888427,-96.000778,5.8292
0.08978923,0.10222164,-95.675194,4.532
0.0414991,0.0442137,-88.712769,4.8473
0.22184552,0.24660148,-98.570259,3.717
4.22481108,3.26584554,-92.166008,1.9573
3.32528639,3.33976626,-95.139244,1.1948
8.42800912,8,-27.37191,0.4197
3.3952086,8,-34.086117,0.7887
2.81491518,8,-37.428101,0.8516
0.10843112,0.05380209,-86.428574,4.9233
0.01835126,0.01860668,-95.373955,5.646
0.24839036,0.25735694,-84.276497,2.984
0.38666394,0.43489298,-93.296661,2.8447
0.32828596,0.45588717,-90.652657,3.1467
0.77724963,0.74387407,-88.875565,3.3595
1.99123085,2.22454119,-69.863739,2.0176
0.10159446,0.08546586,-97.932564,4.7326
0.03157679,0.03880033,-96.047928,4.6979
0.12273446,0.14628393,-91.887878,3.7898
0.1370987,0.12359373,-94.431946,3.6685
0.02652204,0.02668271,-97.600441,5.0752
0.0091204,0.00993764,-96.896698,5.6306
0.18093005,0.28547108,-77.920441,2.7114
0.05014358,0.03914998,-98.698273,5.4387
7.6779666,5.80503511,-96.607239,0.876
8.46428382,8,-29.389597,0.233
0.11320717,0.12528163,-77.904488,2.8221
0.00629883,0.00670509,-63.561085,4.0212
0.0545109,0.0586543,-100.417374,3.8736
1.13926637,1.5663029,-60.055992,1.1325
1.58560872,2.21529961,-64.787224,1.2628
8.34318978,3.49336267,-78.399277,1.5188
8.56808067,4.05606031,-72.268944,1.1427
9.11628065,2.43925023,-77.067184,1.9144
8.25564586,8,-37.855145,0.0615
3.39657259,5.80494595,-52.549183,0.3858
0.07302544,0.07433415,-86.406075,4.0092
0.0200102,0.00854532,-88.442879,5.5767
0.09405488,0.11732212,-98.884239,3.5863
9.46728484,4.1455102,-85.822556,1.095
1.22898948,1.5007056,-72.348282,1.8901
9.24296654,8,-10.370203,0.0934
0.11677522,0.10770423,-92.410721,4.7185
0.1276453,0.12941293,-94.792427,4.4124
0.0108078,0.01374673,-92.978683,5.6277
0.02986839,0.05435202,-68.592667,3.6923
0.01372436,0.01484923,-96.209221,5.8635
0.07420992,0.0898853,-96.165787,4.5702
0.00552177,8,-98.541519,7.0551
1.26680601,1.2607826,-93.809441,2.7737
8.69269933,6.8377018,-59.061127,0.8817
1.3427825,8,-24.297573,0.6935
8.49763469,7.8077445,-50.916508,0.9807
2.22671366,8,-15.425052,0.644
3.88375258,4.05649662,-69.476105,1.2449
8.09847119,8,-24.390051,0.3954
0.11805778,0.13611952,-76.894592,3.5166
0.20445167,0.39270222,-79.525986,2.7281
0.06334686,0.07059468,-98.543953,4.3288
1.52096987,1.57054341,-92.005203,2.1776
1.5853864,1.76755977,-89.02153,1.5452
2.46588612,8,-46.136818,0.6822
0.01727682,0.02712075,-75.487404,4.3846
0.03995871,0.04218019,-92.645149,4.7985
